latitude,longitude,altitude_m,bearing_deg
13.070089326267778,80.18205185236555,14,234.62767095994093
13.069569647471111,80.18130038038079,16,236.4516235599532
13.069073094700721,80.18053163528346,16,234.12004706827506
13.0685460291393,80.17978361408316,13,234.45687202556977
13.068023238384015,80.17903240104175,13,243.01183026712627
13.067616286857879,80.17821206490032,15,262.3300174578119
13.067496777369195,80.17730107360218,16,266.3605620176848
13.067439693341386,80.1763797753284,18,245.80980059192416
13.067073156794732,80.17554213444595,17,234.64122690988103
13.066552793067792,80.17478930395106,16,233.81645392183805
13.066021880144454,80.17404417642705,14,234.97825140577095
13.06550577211077,80.17328812193703,15,235.97837747879473
13.065002600236971,80.17252294022789,15,236.005224874597
13.06449978316382,80.1717575264676,16,249.46854648843288
13.064188350756924,80.17090386335819,15,268.28938002170946
